epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,28321.9,1.26803,1.39743,1.47151,0.31262,0.49157,0.25148,0.16123,1.18972,1.42522,1.38804,0.003763,0.003763,0.003763
65,28732.3,1.2551,1.38462,1.45213,0.28657,0.49033,0.24761,0.16123,1.16555,1.36063,1.3751,0.003664,0.003664,0.003664
66,29049.7,1.24848,1.36842,1.44887,0.2023,0.52115,0.25101,0.15925,1.19177,1.40558,1.40061,0.003565,0.003565,0.003565
67,29439.7,1.26367,1.37681,1.45971,0.34302,0.48615,0.26931,0.17349,1.17438,1.39841,1.36631,0.003466,0.003466,0.003466
68,29842.8,1.23751,1.36568,1.43601,0.26255,0.53883,0.27963,0.18049,1.15726,1.37258,1.36208,0.003367,0.003367,0.003367
69,30383.2,1.23833,1.3673,1.44311,0.29345,0.51609,0.26366,0.16835,1.1587,1.39007,1.35817,0.003268,0.003268,0.003268
70,30858.1,1.2342,1.36475,1.4411,0.26474,0.50975,0.26195,0.16666,1.1451,1.33824,1.35767,0.003169,0.003169,0.003169
71,31384.7,1.23479,1.34488,1.43862,0.32813,0.52593,0.26624,0.17183,1.1538,1.36508,1.37501,0.00307,0.00307,0.00307
72,31825.7,1.21211,1.33039,1.42166,0.26396,0.53951,0.26179,0.17092,1.13506,1.3616,1.35158,0.002971,0.002971,0.002971
73,32332.7,1.21419,1.32489,1.4207,0.30307,0.50356,0.27487,0.17626,1.14929,1.33859,1.35112,0.002872,0.002872,0.002872
74,32641.8,1.22196,1.32696,1.42975,0.29991,0.51438,0.2623,0.16984,1.15727,1.35971,1.36652,0.002773,0.002773,0.002773
75,33028.7,1.20865,1.3161,1.42753,0.25331,0.50574,0.27589,0.17547,1.12895,1.35225,1.33534,0.002674,0.002674,0.002674
