epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,14367,1.21917,1.08182,1.51027,0.37048,0.61612,0.39066,0.23603,1.2989,1.12121,1.55942,0.001783,0.001783,0.001783
85,14751.9,1.20813,1.08665,1.49979,0.38916,0.6209,0.39362,0.24314,1.29179,1.0939,1.54819,0.001684,0.001684,0.001684
86,15409,1.19709,1.05293,1.49278,0.37097,0.6174,0.38712,0.2348,1.30633,1.11888,1.56943,0.001585,0.001585,0.001585
87,15885.8,1.19941,1.05235,1.50552,0.40656,0.59153,0.39362,0.23414,1.32177,1.10126,1.56637,0.001486,0.001486,0.001486
88,16225.7,1.19455,1.05484,1.50007,0.37172,0.60214,0.3902,0.23549,1.30943,1.09549,1.5598,0.001387,0.001387,0.001387
89,16625.8,1.18902,1.0551,1.48819,0.37326,0.58382,0.39085,0.23986,1.31435,1.09646,1.57412,0.001288,0.001288,0.001288
90,17112.6,1.19082,1.04172,1.48818,0.38937,0.62193,0.39694,0.24553,1.25432,1.06881,1.51968,0.001189,0.001189,0.001189
91,17508.9,1.09644,0.91298,1.48984,0.37568,0.61629,0.39584,0.2394,1.33202,1.10468,1.59586,0.00109,0.00109,0.00109
92,17978.9,1.08596,0.88538,1.47593,0.372,0.60177,0.39719,0.24002,1.3632,1.10394,1.60424,0.000991,0.000991,0.000991
93,18256,1.08579,0.88392,1.47884,0.37151,0.60959,0.39345,0.23886,1.31611,1.09666,1.57561,0.000892,0.000892,0.000892
94,18556,1.07574,0.87285,1.47532,0.37194,0.60254,0.39421,0.2425,1.33735,1.09987,1.59149,0.000793,0.000793,0.000793
95,18870.7,1.06565,0.86153,1.46866,0.38017,0.62121,0.39465,0.2401,1.32865,1.08875,1.58921,0.000694,0.000694,0.000694
96,583.063,1.16405,1.05528,1.46568,0.37603,0.62335,0.393,0.24648,1.26472,1.06285,1.53167,0.000595,0.000595,0.000595
97,1317.93,1.12749,0.99869,1.44809,0.37309,0.64076,0.39044,0.24296,1.27236,1.06952,1.54814,0.000496,0.000496,0.000496
98,2041.6,1.11965,0.99122,1.44167,0.38278,0.62627,0.39147,0.24452,1.27889,1.07608,1.54629,0.000397,0.000397,0.000397
99,2839.82,1.11712,0.98059,1.44035,0.37359,0.63529,0.39435,0.24524,1.26716,1.06631,1.53742,0.000298,0.000298,0.000298
100,3776.47,1.13767,1.00526,1.45246,0.37329,0.63894,0.39081,0.24502,1.25859,1.05802,1.53088,0.000199,0.000199,0.000199
